architecture,stage,temporal_kernel,branch_kernel,output_index,center_ms,theoretical_rf_samples,start_sample,end_sample,n_samples,start_ms,end_ms,whole_cached_epoch
K65,branch_feature,65,5,0,-188.28125,84,0,43,44,-200.0,135.9375,False
K65,branch_feature,65,5,1,-157.03125,84,0,47,48,-200.0,167.1875,False
K65,branch_feature,65,5,2,-125.78125,84,0,51,52,-200.0,198.4375,False
K65,branch_feature,65,5,3,-94.53125,84,0,55,56,-200.0,229.6875,False
K65,branch_feature,65,5,4,-63.28125,84,0,59,60,-200.0,260.9375,False
K65,branch_feature,65,5,5,-32.03125,84,0,63,64,-200.0,292.1875,False
K65,branch_feature,65,5,6,-0.78125,84,0,67,68,-200.0,323.4375,False
K65,branch_feature,65,5,7,30.46875,84,0,71,72,-200.0,354.6875,False
K65,branch_feature,65,5,8,61.71875,84,0,75,76,-200.0,385.9375,False
K65,branch_feature,65,5,9,92.96875,84,0,79,80,-200.0,417.1875,False
K65,branch_feature,65,5,10,124.21875,84,0,83,84,-200.0,448.4375,False
K65,branch_feature,65,5,11,155.46875,84,4,87,84,-168.75,479.6875,False
K65,branch_feature,65,5,12,186.71875,84,8,91,84,-137.5,510.9375,False
K65,branch_feature,65,5,13,217.96875,84,12,95,84,-106.25,542.1875,False
K65,branch_feature,65,5,14,249.21875,84,16,99,84,-75.0,573.4375,False
K65,branch_feature,65,5,15,280.46875,84,20,103,84,-43.75,604.6875,False
K65,branch_feature,65,5,16,311.71875,84,24,107,84,-12.5,635.9375,False
K65,branch_feature,65,5,17,342.96875,84,28,111,84,18.75,667.1875,False
K65,branch_feature,65,5,18,374.21875,84,32,115,84,50.0,698.4375,False
K65,branch_feature,65,5,19,405.46875,84,36,119,84,81.25,729.6875,False
K65,branch_feature,65,5,20,436.71875,84,40,123,84,112.5,760.9375,False
K65,branch_feature,65,5,21,467.96875,84,44,127,84,143.75,792.1875,False
K65,branch_feature,65,5,22,499.21875,84,48,127,80,175.0,792.1875,False
K65,branch_feature,65,5,23,530.46875,84,52,127,76,206.25,792.1875,False
K65,branch_feature,65,5,24,561.71875,84,56,127,72,237.5,792.1875,False
K65,branch_feature,65,5,25,592.96875,84,60,127,68,268.75,792.1875,False
K65,branch_feature,65,5,26,624.21875,84,64,127,64,300.0,792.1875,False
K65,branch_feature,65,5,27,655.46875,84,68,127,60,331.25,792.1875,False
K65,branch_feature,65,5,28,686.71875,84,72,127,56,362.5,792.1875,False
K65,branch_feature,65,5,29,717.96875,84,76,127,52,393.75,792.1875,False
K65,branch_feature,65,5,30,749.21875,84,80,127,48,425.0,792.1875,False
K65,branch_feature,65,5,31,780.46875,84,84,127,44,456.25,792.1875,False
K65,ms_flatten_bin,65,5,0,-78.90625,112,0,71,72,-200.0,354.6875,False
K65,ms_flatten_bin,65,5,1,171.09375,112,0,103,104,-200.0,604.6875,False
K65,ms_flatten_bin,65,5,2,421.09375,112,24,127,104,-12.5,792.1875,False
K65,ms_flatten_bin,65,5,3,671.09375,112,56,127,72,237.5,792.1875,False
K65,branch_feature,65,17,0,-188.28125,132,0,67,68,-200.0,323.4375,False
K65,branch_feature,65,17,1,-157.03125,132,0,71,72,-200.0,354.6875,False
K65,branch_feature,65,17,2,-125.78125,132,0,75,76,-200.0,385.9375,False
K65,branch_feature,65,17,3,-94.53125,132,0,79,80,-200.0,417.1875,False
K65,branch_feature,65,17,4,-63.28125,132,0,83,84,-200.0,448.4375,False
K65,branch_feature,65,17,5,-32.03125,132,0,87,88,-200.0,479.6875,False
K65,branch_feature,65,17,6,-0.78125,132,0,91,92,-200.0,510.9375,False
K65,branch_feature,65,17,7,30.46875,132,0,95,96,-200.0,542.1875,False
