subject,kernel,r_s,balanced_hit_seed_mean,raw_hit_seed_mean,auc_seed_mean
P3Numbers_20141023_f_11_001,33,18,1.0,1.0,0.7625478927203065
P3Numbers_20141023_f_11_002,33,6,1.0,1.0,0.9047619047619048
P3Numbers_20141023_f_11_003,33,18,0.6666666666666666,0.6666666666666666,0.5829986613119144
P3Numbers_20141023_f_12_001,33,12,0.3333333333333333,0.6666666666666666,0.5648148148148148
P3Numbers_20141023_f_12_002,33,7,1.0,1.0,0.7888216652261596
P3Numbers_20141023_f_13_001,33,6,1.0,1.0,0.9516666666666667
P3Numbers_20141023_f_14_001,33,3,1.0,1.0,0.9948717948717949
P3Numbers_20141023_f_14_002,33,27,0.0,0.0,0.5573779409764722
P3Numbers_20141023_f_14_003,33,20,1.0,1.0,0.6655148237179486
P3Numbers_20141023_f_15_001,33,24,0.0,0.3333333333333333,0.592947363478424
P3Numbers_20141023_m_12_001,33,9,1.0,0.6666666666666666,0.6681190994916486
P3Numbers_20141023_m_12_002,33,16,0.3333333333333333,0.0,0.4969592373438527
P3Numbers_20141023_m_13_001,33,27,1.0,0.6666666666666666,0.5804232804232804
P3Numbers_20141023_m_14_001,33,18,1.0,1.0,0.6743524570321956
P3Numbers_20141023_m_14_002,33,24,0.6666666666666666,0.6666666666666666,0.6499732477260567
P3Numbers_20141023_m_15_001,33,28,1.0,0.6666666666666666,0.7335055121122989
P3Numbers_20141023_m_15_002,33,8,1.0,1.0,0.7422680412371134
P3Numbers_20141023_m_15_003,33,5,1.0,1.0,0.8393895348837209
P3Numbers_20141124_f_12_001,33,7,1.0,1.0,0.8258101851851851
P3Numbers_20141124_f_12_002,33,15,1.0,1.0,0.8596296296296296
P3Numbers_20141124_f_13_001,33,29,1.0,1.0,0.6558761435608726
P3Numbers_20141124_f_13_002,33,8,0.6666666666666666,1.0,0.8115646258503402
P3Numbers_20141124_f_14_001,33,18,0.6666666666666666,0.6666666666666666,0.6944852341328113
P3Numbers_20141124_f_14_002,33,10,0.6666666666666666,0.6666666666666666,0.6910860655737704
P3Numbers_20141124_f_14_003,33,4,1.0,1.0,0.9921752738654147
P3Numbers_20141124_f_14_004,33,6,0.6666666666666666,0.6666666666666666,0.6693662972435351
P3Numbers_20141124_f_15_001,33,22,1.0,1.0,0.7898860398860399
P3Numbers_20141124_f_17_001,33,8,0.6666666666666666,0.6666666666666666,0.8470744680851063
P3Numbers_20141124_f_17_002,33,32,0.6666666666666666,0.6666666666666666,0.6348958333333333
P3Numbers_20141124_m_12_001,33,10,1.0,0.3333333333333333,0.7083333333333334
P3Numbers_20141124_m_12_002,33,14,1.0,1.0,0.770145477545857
P3Numbers_20141124_m_13_001,33,23,1.0,1.0,0.7439765694076038
P3Numbers_20141124_m_14_001,33,11,1.0,0.6666666666666666,0.6427092576160899
P3Numbers_20141124_m_14_002,33,13,1.0,1.0,0.7135416666666666
P3Numbers_20141124_m_14_004,33,25,0.6666666666666666,1.0,0.6999968615635691
